bonjour	/bɔ̃ʒuʁ/	xin chào (ban ngày)
bonsoir	/bɔ̃swaʁ/	chào buổi tối
salut	/saly/	chào (thân mật); tạm biệt
au revoir	/o ʁəvwaʁ/	tạm biệt
à bientôt	/a bjɛ̃to/	hẹn gặp lại sớm
à demain	/a dəmɛ̃/	hẹn mai gặp
bonne nuit	/bɔn nɥi/	chúc ngủ ngon
merci	/mɛʁsi/	cảm ơn
merci beaucoup	/mɛʁsi boku/	cảm ơn nhiều
de rien	/də ʁjɛ̃/	không có gì
s'il vous plaît	/sil vu plɛ/	làm ơn (lịch sự)
s'il te plaît	/sil tə plɛ/	làm ơn (thân mật)
pardon	/paʁdɔ̃/	xin lỗi; cho tôi hỏi
excusez-moi	/ɛkskyze mwa/	xin lỗi (cho phép tôi)
oui	/wi/	vâng; có
non	/nɔ̃/	không
d'accord	/dakɔʁ/	đồng ý; được thôi
peut-être	/pøtɛtʁ/	có lẽ
bien sûr	/bjɛ̃ syʁ/	tất nhiên rồi
enchanté	/ɑ̃ʃɑ̃te/	rất hân hạnh (khi làm quen)
madame	/madam/	bà; cô (xưng hô lịch sự)
monsieur	/məsjø/	ông; ngài
mademoiselle	/madmwazɛl/	cô (chưa lập gia đình)
bienvenue	/bjɛ̃vny/	chào mừng
je	/ʒə/	tôi
tu	/ty/	bạn (thân mật)
il	/il/	anh ấy; nó
elle	/ɛl/	cô ấy; nó
nous	/nu/	chúng tôi; chúng ta
vous	/vu/	các bạn; ông/bà (lịch sự)
ils	/il/	họ (nam hoặc hỗn hợp)
elles	/ɛl/	họ (toàn nữ)
on	/ɔ̃/	người ta; chúng ta (thân mật)
moi	/mwa/	tôi (dạng nhấn)
toi	/twa/	bạn (dạng nhấn)
ce	/sə/	này; đó
ceci	/səsi/	cái này
cela	/səla/	cái đó
qui	/ki/	ai
que	/kə/	cái gì; rằng
quoi	/kwa/	cái gì (đứng sau)
où	/u/	ở đâu
quand	/kɑ̃/	khi nào
comment	/kɔmɑ̃/	thế nào; làm sao
pourquoi	/puʁkwa/	tại sao
parce que	/paʁsə kə/	bởi vì
combien	/kɔ̃bjɛ̃/	bao nhiêu
quel	/kɛl/	nào; gì (giống đực)
quelle	/kɛl/	nào; gì (giống cái)
est-ce que	/ɛs kə/	(từ mở đầu câu hỏi)
zéro	/zeʁo/	số không
un	/œ̃/	một
deux	/dø/	hai
trois	/tʁwa/	ba
quatre	/katʁ/	bốn
cinq	/sɛ̃k/	năm
six	/sis/	sáu
sept	/sɛt/	bảy
huit	/ɥit/	tám
neuf	/nœf/	chín; mới
dix	/dis/	mười
onze	/ɔ̃z/	mười một
douze	/duz/	mười hai
treize	/tʁɛz/	mười ba
quatorze	/katɔʁz/	mười bốn
quinze	/kɛ̃z/	mười lăm
seize	/sɛz/	mười sáu
dix-sept	/disɛt/	mười bảy
dix-huit	/dizɥit/	mười tám
dix-neuf	/diznœf/	mười chín
vingt	/vɛ̃/	hai mươi
trente	/tʁɑ̃t/	ba mươi
quarante	/kaʁɑ̃t/	bốn mươi
cinquante	/sɛ̃kɑ̃t/	năm mươi
soixante	/swasɑ̃t/	sáu mươi
soixante-dix	/swasɑ̃tdis/	bảy mươi
quatre-vingts	/katʁəvɛ̃/	tám mươi
quatre-vingt-dix	/katʁəvɛ̃dis/	chín mươi
cent	/sɑ̃/	một trăm
mille	/mil/	một nghìn
premier	/pʁəmje/	thứ nhất; đầu tiên
deuxième	/døzjɛm/	thứ hai
dernier	/dɛʁnje/	cuối cùng
lundi	/lœ̃di/	thứ Hai
mardi	/maʁdi/	thứ Ba
mercredi	/mɛʁkʁədi/	thứ Tư
jeudi	/ʒødi/	thứ Năm
vendredi	/vɑ̃dʁədi/	thứ Sáu
samedi	/samdi/	thứ Bảy
dimanche	/dimɑ̃ʃ/	Chủ nhật
janvier	/ʒɑ̃vje/	tháng Một
février	/fevʁije/	tháng Hai
mars	/maʁs/	tháng Ba
avril	/avʁil/	tháng Tư
mai	/mɛ/	tháng Năm
juin	/ʒɥɛ̃/	tháng Sáu
juillet	/ʒɥijɛ/	tháng Bảy
août	/ut/	tháng Tám
septembre	/sɛptɑ̃bʁ/	tháng Chín
octobre	/ɔktɔbʁ/	tháng Mười
novembre	/nɔvɑ̃bʁ/	tháng Mười một
décembre	/desɑ̃bʁ/	tháng Mười hai
le jour	/lə ʒuʁ/	ngày
la semaine	/la səmɛn/	tuần
le mois	/lə mwa/	tháng
l'année	/lane/	năm
aujourd'hui	/oʒuʁdɥi/	hôm nay
hier	/jɛʁ/	hôm qua
demain	/dəmɛ̃/	ngày mai
le matin	/lə matɛ̃/	buổi sáng
l'après-midi	/lapʁɛmidi/	buổi chiều
le soir	/lə swaʁ/	buổi tối
la nuit	/la nɥi/	đêm
l'heure	/lœʁ/	giờ; tiếng đồng hồ
la minute	/la minyt/	phút
