安慰	安慰	an1wei4	ānwèi	an ủi; vỗ về
岸	岸	an4	àn	bờ; bờ sông; bờ biển
岸上	岸上	an4shang4	ànshàng	trên bờ
按摩	按摩	an4mo2	ànmó	xoa bóp; mát-xa
拔	拔	ba2	bá	nhổ; rút ra
白酒	白酒	bai2jiu3	báijiǔ	rượu trắng (rượu mạnh của Trung Quốc)
拜访	拜訪	bai4fang3	bàifǎng	đến thăm; thăm hỏi
版	版	ban3	bǎn	bản; phiên bản; ấn bản
扮演	扮演	ban4yan3	bànyǎn	đóng vai; thủ vai
棒	棒	bang4	bàng	cái gậy; giỏi, cừ
包围	包圍	bao1wei2	bāowéi	bao vây; vây quanh
包装	包裝	bao1zhuang1	bāozhuāng	đóng gói; bao bì
保卫	保衛	bao3wei4	bǎowèi	bảo vệ; giữ gìn
保养	保養	bao3yang3	bǎoyǎng	bảo dưỡng; giữ gìn sức khỏe
报答	報答	bao4da2	bàodá	báo đáp; đền ơn
报警	報警	bao4jing3	bàojǐng	báo cảnh sát; báo động
抱怨	抱怨	bao4yuan4	bàoyuàn	than phiền; oán trách
背包	背包	bei1bao1	bēibāo	ba lô
悲剧	悲劇	bei1ju4	bēijù	bi kịch
悲伤	悲傷	bei1shang1	bēishāng	đau buồn; bi thương
北极	北極	bei3ji2	běijí	Bắc Cực
被动	被動	bei4dong4	bèidòng	bị động; thụ động
辈	輩	bei4	bèi	thế hệ; đời; vai vế
本人	本人	ben3ren2	běnrén	bản thân tôi; đích thân
鼻子	鼻子	bi2zi5	bízi	cái mũi
比方	比方	bi3fang5	bǐfang	ví dụ; ví như
比重	比重	bi3zhong4	bǐzhòng	tỷ trọng
彼此	彼此	bi3ci3	bǐcǐ	lẫn nhau; đôi bên
必	必	bi4	bì	tất; nhất định phải
必需	必需	bi4xu1	bìxū	cần thiết; thiết yếu
毕竟	畢竟	bi4jing4	bìjìng	suy cho cùng; dù sao thì
闭幕	閉幕	bi4mu4	bìmù	bế mạc
闭幕式	閉幕式	bi4mu4shi4	bìmùshì	lễ bế mạc
边境	邊境	bian1jing4	biānjìng	biên giới; vùng biên
编辑	編輯	bian1ji2	biānjí	biên tập; biên tập viên
变动	變動	bian4dong4	biàndòng	thay đổi; biến động
便利	便利	bian4li4	biànlì	tiện lợi; thuận tiện
便条	便條	bian4tiao2	biàntiáo	mẩu giấy nhắn
便于	便於	bian4yu2	biànyú	tiện cho việc; dễ dàng cho
宾馆	賓館	bin1guan3	bīnguǎn	nhà khách; khách sạn
饼	餅	bing3	bǐng	bánh (dẹt tròn)
饼干	餅乾	bing3gan1	bǐnggān	bánh quy
病毒	病毒	bing4du2	bìngdú	vi-rút
玻璃	玻璃	bo1li5	bōli	thủy tinh; kính
博客	博客	bo2ke4	bókè	blog; nhật ký mạng
博览会	博覽會	bo2lan3hui4	bólǎnhuì	hội chợ triển lãm
博士	博士	bo2shi4	bóshì	tiến sĩ
博物馆	博物館	bo2wu4guan3	bówùguǎn	bảo tàng
薄弱	薄弱	bo2ruo4	bóruò	yếu kém; mỏng manh
不顾	不顧	bu4gu4	bùgù	bất chấp; không đếm xỉa đến
不利	不利	bu4li4	bùlì	bất lợi; có hại
不耐烦	不耐煩	bu4nai4fan2	bùnàifán	sốt ruột; mất kiên nhẫn
不幸	不幸	bu4xing4	bùxìng	bất hạnh; không may
不易	不易	bu4yi4	bùyì	không dễ; khó
补偿	補償	bu3chang2	bǔcháng	bồi thường; bù đắp
补贴	補貼	bu3tie1	bǔtiē	trợ cấp; phụ cấp
不曾	不曾	bu4ceng2	bùcéng	chưa từng
不得了	不得了	bu4de2liao3	bùdéliǎo	ghê gớm; vô cùng; nguy to
不敢当	不敢當	bu4gan3dang1	bùgǎndāng	không dám nhận (lời khen); quá khen rồi
不良	不良	bu4liang2	bùliáng	xấu; không tốt; có hại
不免	不免	bu4mian3	bùmiǎn	khó tránh khỏi; ắt sẽ
不能不	不能不	bu4neng2bu4	bùnéngbù	không thể không; buộc phải
不时	不時	bu4shi2	bùshí	thỉnh thoảng; chốc chốc lại
不停	不停	bu4ting2	bùtíng	không ngừng; liên tục
不许	不許	bu4xu3	bùxǔ	không cho phép; cấm
不止	不止	bu4zhi3	bùzhǐ	không chỉ; hơn cả
不足	不足	bu4zu2	bùzú	không đủ; thiếu hụt; thiếu sót
部位	部位	bu4wei4	bùwèi	bộ phận; vị trí (trên cơ thể)
猜	猜	cai1	cāi	đoán
猜测	猜測	cai1ce4	cāicè	đoán; phỏng đoán
裁判	裁判	cai2pan4	cáipàn	trọng tài; phán xử
采购	採購	cai3gou4	cǎigòu	thu mua; mua sắm (cho cơ quan)
彩票	彩票	cai3piao4	cǎipiào	vé số
餐馆	餐館	can1guan3	cānguǎn	quán ăn; nhà hàng
餐厅	餐廳	can1ting1	cāntīng	nhà ăn; phòng ăn; nhà hàng
